Model,MSE,RMSE,MAE,R2 Score,Training Time (s),Strategy type,Preprocessing time
LSTM,3.5794980998297037,1.8919561569522967,1.4057693263316389,0.6042537618858166,7517.4525,median_imp,2.5421369075775146
GRU,3.503169344474768,1.8716755446590545,1.4014518420646762,0.6126926035751279,6321.4299,median_imp,2.5421369075775146
