Model,MSE,RMSE,MAE,R2 Score,Training Time (s),Strategy type,Preprocessing time
LSTM,3.606898422550662,1.8991836200195762,1.4178565398570324,0.6012244057198084,8806.1469,mice_imp,2491.003454208374
GRU,3.759404113062912,1.9389182842664907,1.4399316870036596,0.5843635074519479,6911.4844,mice_imp,2491.003454208374
