Model,MSE,RMSE,MAE,R2 Score,Training Time (s),Strategy type,Preprocessing time
LSTM,3.6017791989280847,1.8978353982703782,1.415423895665236,0.6017903826903777,6855.5042,mean_imp,3.605799436569214
GRU,4.24555042382079,2.060473349456573,1.527719538014852,0.5306155885287133,5758.5599,mean_imp,3.605799436569214
