Model,MSE,RMSE,MAE,R2 Score,Training Time (s),Strategy type,Preprocessing time
LSTM,4.451961143749552,2.1099670954186824,1.589691531829554,0.507794996468018,5.5957,ffill_bfill_imp,0.11141395568847656
GRU,4.485059959134926,2.1177960145242802,1.5922725910730338,0.5041356198432836,6.371,ffill_bfill_imp,0.11141395568847656
