Model,MSE,RMSE,R2 Score,Training Time (s),Strategy type,Preprocessing time
Linear Regression,4.469738590563027,2.114175629072246,0.5058295372043177,3.5096,mean_imp,3.260256290435791
Ridge Regression,4.469735585205215,2.1141749183086094,0.5058298694740982,0.7581,mean_imp,3.260256290435791
Lasso Regression,5.7438514538475305,2.3966333582439203,0.36496471243971684,1.5743,mean_imp,3.260256290435791
Decision Tree,6.514131054935744,2.5522795800883067,0.2798032607710438,45.1029,mean_imp,3.260256290435791
Random Forest,3.0574704171727154,1.7485623858394974,0.6619686944940492,188.3252,mean_imp,3.260256290435791
Gradient Boosting,4.165382874539359,2.0409269645284613,0.5394788439802161,657.9524,mean_imp,3.260256290435791
Hist Gradient Boosting,3.8134235376276657,1.952798898409067,0.5783911662296934,303.0409,mean_imp,3.260256290435791
XGBoost,3.597924515317435,1.8968195790104643,0.6022165532024133,63.1621,mean_imp,3.260256290435791
