Model,MSE,RMSE,R2 Score,Training Time (s),Strategy type,Preprocessing time
Linear Regression,8.888819163245595,2.981412276630925,0.017259781392518492,4.6476,lstm_imp,1155.4841582775116
Ridge Regression,8.867723970346209,2.9778723898693524,0.01959204781630075,8.6419,lstm_imp,1155.4841582775116
Lasso Regression,8.874026815163418,2.9789304817607642,0.01889521070219624,115.3269,lstm_imp,1155.4841582775116
Decision Tree,8.21693475497811,2.8665196240350617,0.09154274498232495,102.4725,lstm_imp,1155.4841582775116
Random Forest,3.745070372346577,1.9352184301382045,0.5859482335248192,310.6826,lstm_imp,1155.4841582775116
Gradient Boosting,6.40483614565725,2.530777774846549,0.2918868121477166,1378.6231,lstm_imp,1155.4841582775116
Hist Gradient Boosting,5.831059998361582,2.414758786786287,0.35532301059763705,1547.2471,lstm_imp,1155.4841582775116
XGBoost,5.296218902449123,2.3013515382159944,0.4144545831793608,323.6717,lstm_imp,1155.4841582775116
