Model,MSE,RMSE,R2 Score,Training Time (s),Strategy type,Preprocessing time
Linear Regression,4.474377420750061,2.1152724223489656,0.5053166721197249,3.9859,median_imp,11.154501914978027
Ridge Regression,4.474376309565939,2.115272159691499,0.5053167949712878,0.8294,median_imp,11.154501914978027
Lasso Regression,5.752236907738839,2.3983821438083712,0.36403762385360383,1.5375,median_imp,11.154501914978027
Decision Tree,6.609021042225675,2.5708016341650466,0.2693123052076145,45.9488,median_imp,11.154501914978027
Random Forest,3.06340247911312,1.7502578321816245,0.6613128508166111,193.7759,median_imp,11.154501914978027
Gradient Boosting,4.169598285376352,2.041959423048448,0.5390127917755998,646.4155,median_imp,11.154501914978027
Hist Gradient Boosting,3.812197475116842,1.9524849487555191,0.5785267186487251,281.1946,median_imp,11.154501914978027
XGBoost,3.6256808128832274,1.9041220582943803,0.5991478407630457,65.9052,median_imp,11.154501914978027
