Model,MSE,RMSE,MAE,R2 Score,Training Time (s),Strategy type,Preprocessing time
LSTM,4.452873475298197,2.1101832800252676,1.5649964906051153,0.5076941298749316,6.0135,linear_interp_imp,0.1554732322692871
GRU,4.4526786788095905,2.110137123224363,1.5851443470239877,0.5077156664075442,7.2265,linear_interp_imp,0.1554732322692871
