Model,MSE,RMSE,R2 Score,Training Time (s)
Linear Regression,4.430742305018112,2.10493285047721,0.5101409330688834,1.5023
Ridge Regression,4.430739804895769,2.1049322566048936,0.5101412094802642,0.2363
Lasso Regression,5.743851453847531,2.3966333582439203,0.3649647124397166,0.3427
Decision Tree,6.323031775172998,2.5145639334033643,0.3009310331467392,34.923
Gradient Boosting,4.119363933101822,2.0296216231361504,0.5445666586536667,457.3625
XGBoost,3.4558837681759056,1.8590007445334458,0.6179204563118639,2.947
