Model,MSE,RMSE,R2 Score,Training Time (s)
Linear Regression,4.413910964714361,2.100930975713948,0.5120017916087848,23.1238
Ridge Regression,4.4139099108689726,2.1009307249095515,0.5120019081210266,5.8658
Lasso Regression,5.7438514538475305,2.3966333582439203,0.36496471243971684,21.8048
Decision Tree,6.372196864849598,2.524321070079953,0.2954953830238948,66.6861
Gradient Boosting,4.125832365326559,2.031214505001025,0.5438515143378874,805.2788
XGBoost,3.4877900014603407,1.8675625830103635,0.6143929305407763,42.2603
