Model,MSE,RMSE,R2 Score,Training Time (s)
Linear Regression,4.430742305018112,2.10493285047721,0.5101409330688834,1.7592
Ridge Regression,4.430739804895878,2.1049322566049193,0.5101412094802521,0.3463
Lasso Regression,5.7438514538475305,2.3966333582439203,0.36496471243971684,0.461
Decision Tree,6.322841971472957,2.514526192242379,0.3009520176809328,42.816
Gradient Boosting,4.119363933101822,2.0296216231361504,0.5445666586536667,512.3938
XGBoost,3.4558837681759056,1.8590007445334458,0.6179204563118639,3.2889
